,Type of property,Location,Postcode,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2,Province,Region
6301,apartment,bekkevoort,3460,10649846,245000,Hoogstraat 2 bus 1,2,D,324.0,0,1,30,0,20,0,0,Good,0,0,0,0,1,Installed,Electric,245000,€245000,1,Vlaams-Brabant,Flanders
6302,house,merchtem,1785,10649845,545000,Meyskensstraat 222,5,B,195.0,0,1,0,2058,0,4,1981,Good,0,1,1,0,3,Installed,0,545000,€545000,1,Vlaams-Brabant,Flanders
6303,bungalow,esneux,4130,10649836,149000,Rue Charles Magnette 24/40,3,G,951.0,0,1,30,1011,0,0,0,To renovate,0,1,0,0,1,Not installed,Fuel oil,149000,€149000,1,Liï¿½ge,Wallonia
6304,house,vielsalm,6690,10649834,350000,Route de Marche 143,3,C,176.0,0,1,0,422,0,2,0,0,0,1,0,0,0,0,Fuel oil,350000,€350000,1,Luxembourg,Wallonia
6305,house,oostende,8400,10649828,229000,Koningsstraat 23,4,C,218.0,0,0,0,51,32,0,0,As new,0,0,0,0,1,Hyper equipped,Gas,229000,€229000,0,West-Vlaanderen,Flanders
6306,apartment,jette,1090,10649816,199000,Rue Archimède 17,2,G,387.0,0,0,0,0,0,2,1954,0,0,1,0,0,0,0,Gas,199000,€199000,0,Brussels Hoofdstedelijk Gewest,Brussels
6307,apartment,gistel,8470,10649814,170000,Koningsstraat 23,1,A,99.0,0,0,0,0,0,0,0,Good,0,0,0,0,1,Installed,0,170000,€170000,0,West-Vlaanderen,Flanders
6308,apartment,ganshoren,1083,10649810,285000,Avenue François Sebrechts 26,3,E,239.0,0,1,0,0,37,0,1967,As new,0,1,0,0,1,USA hyper equipped,Fuel oil,285000,€285000,1,Brussels Hoofdstedelijk Gewest,Brussels
6309,exceptional-property,leglise,6860,10649809,795000,Rue Lucien Burnotte 27,8,B,142.0,0,1,0,864,36,4,2011,As new,0,0,4,1,0,Hyper equipped,0,795000,€795000,1,Luxembourg,Wallonia
6310,house,la%20calamine,4720,10258422,260000,Village 5,3,F,482.0,0,0,0,650,0,4,1971,0,0,0,0,0,0,0,Fuel oil,260000,€260000,0,Liï¿½ge,Wallonia
6311,apartment,veurne,8630,10649803,295000,Tategemstraat 30,3,B,110.0,0,1,22,0,38,2,2006,As new,0,2,0,0,2,Hyper equipped,Gas,295000,€295000,1,West-Vlaanderen,Flanders
6312,apartment,brussels%20city,1000,10649802,330000,Sint-Gisleinsstraat 53,1,E,222.0,0,0,0,0,0,2,1935,Just renovated,0,1,0,0,1,Installed,0,330000,€330000,0,Brussels Hoofdstedelijk Gewest,Brussels
6313,apartment,nivelles,1400,10592198,230000,Chaussée de Bruxelles 23 (sur N5),2,C,253.0,0,1,7,0,33,0,1993,To be done up,0,1,0,0,1,Installed,Electric,230000,€230000,1,Brabant wallon,Wallonia
6315,house,aubange,6790,10649798,495000,Route d'Arlon 188a,4,A,69.0,0,1,15,259,40,2,2020,As new,0,1,0,0,2,Hyper equipped,Gas,495000,€495000,1,Luxembourg,Wallonia
6316,apartment-block,andenne,5300,10649797,319000,Rue Brun 11,4,B,151.0,0,0,0,0,0,0,0,0,0,0,3,0,3,Semi equipped,Gas,319000,€319000,0,Namur,Wallonia
6317,house,couthuin,4218,10649790,275000,Place des Tilleuls 48,3,B,157.0,0,0,0,634,0,4,2012,0,0,1,0,0,0,0,Fuel oil,275000,€275.000,0,Liï¿½ge,Wallonia
6318,house,chastre,1450,10649789,625000,Grand' Route 3,4,C,236.0,0,1,120,3200,0,4,0,Good,0,3,0,0,0,Installed,Fuel oil,625000,€625000,1,Brabant wallon,Wallonia
6319,house,overijse,3090,10649788,875000,Grand' Route 3,6,C,217.0,0,0,0,1079,60,4,1973,To be done up,0,3,0,0,0,Installed,Gas,875000,€875000,0,Vlaams-Brabant,Flanders
6321,house,hemiksem,2620,10649784,325000,Strijdersstraat 8,3,E,465.0,0,0,0,425,30,3,1925,To renovate,0,1,0,0,1,Semi equipped,Gas,325000,€325000,0,Antwerpen,Flanders
6322,house,namur,5000,10649778,395000,Rue Notre Dame 130,6,D,323.0,0,1,20,274,0,2,1875,0,0,1,3,0,5,0,0,395000,€395000,1,Namur,Wallonia
6324,villa,maldegem,9990,10649776,470000,Lotenhullestraat 87,6,B,164.0,0,1,50,738,0,4,1972,Good,0,2,0,1,3,Installed,Fuel oil,470000,€470000,1,Oost-Vlaanderen,Flanders
6325,apartment,tournai,7500,10649773,249000,"rue Saint-Martin, 5",2,B,125.0,0,0,0,0,35,4,0,0,0,1,0,0,1,0,0,249000,€249000,0,Hainaut,Wallonia
6328,house,ninove,9400,10649758,194000,Molenstraat 1,2,D,361.0,0,1,18,136,25,2,1918,As new,0,1,0,0,1,Semi equipped,Gas,194000,€194000,1,Oost-Vlaanderen,Flanders
6330,apartment,sint-pieters-woluwe,1150,10649745,610000,Leuvensesteenweg 417,3,G,353.0,0,1,20,0,0,0,1974,0,0,2,0,0,2,0,0,610000,€610000,1,Brussels Hoofdstedelijk Gewest,Brussels
6331,apartment,ixelles,1050,10649742,850000,Woluwelaan 2,3,C,99.0,0,1,14,0,0,3,2017,As new,0,2,1,0,2,USA hyper equipped,0,850000,€850000,1,Brussels Hoofdstedelijk Gewest,Brussels
6337,house,ieper,8900,10649737,595000,Boterstraat 47,10,D,346.0,0,1,130,330,0,4,1946,Good,0,7,0,0,0,Hyper equipped,Gas,595000,€595000,1,West-Vlaanderen,Flanders
6338,villa,velaines,7760,10649732,330000,Impasse Saint-Paul 16,3,E,387.0,0,1,25,900,35,4,0,As new,0,1,0,0,2,Not installed,0,330000,€330000,1,Hainaut,Wallonia
6339,house,ch%C3%83telineau,6200,10649726,199000,Chaussee de Marche 488,3,E,362.0,0,1,12,130,50,2,1918,0,0,1,0,0,1,Semi equipped,Gas,199000,€199000,1,Hainaut,Wallonia
