,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,Postcode,Price2,Price_orig,Terrace2,Province,Region
3727,499000,Strijdersstraat 8,3,B,146,0,1,11,0,38,2,0,Just renovated,0,1,0,0,2,Hyper equipped,Gas,10655756,2018,499000,€499000,1,Antwerpen,Flanders
3728,267000,Dr. Persoonslaan 15 b,2,C,244,0,1,0,0,0,4,1973,0,0,1,0,0,0,Installed,Gas,10655755,2830,267000,€267000,1,Antwerpen,Flanders
3729,170000,Franchommelaan 104,1,D,328,0,1,0,0,0,2,0,Just renovated,0,1,0,0,1,Installed,Electric,10655754,8370,170000,€170000,1,West-Vlaanderen,Flanders
3730,385000,Franchommelaan 104,2,Not specified,Not specified,0,1,0,0,0,0,2021,0,0,2,0,0,1,Installed,Gas,10655752,8370,385000,€385000,1,West-Vlaanderen,Flanders
3731,110000,Franchommelaan 104,0,Not specified,Not specified,0,1,0,0,0,2,1995,Good,0,1,0,0,0,Not installed,Electric,10655750,8370,110000,€110000,1,West-Vlaanderen,Flanders
3732,105000,Franchommelaan 104,0,Not specified,Not specified,0,1,0,0,0,0,0,To be done up,0,1,0,0,0,Not installed,Electric,10655749,8370,105000,€105000,1,West-Vlaanderen,Flanders
3733,495000,Leuvensesteenweg 417,3,E,487,0,0,0,1991,0,0,1956,0,0,1,0,0,0,Installed,Gas,10655747,3010,495000,€495000,0,Vlaams-Brabant,Flanders
3734,536000,Avenue Louise 200,4,A,1,0,1,46,0,36,2,2023,0,0,2,0,0,3,USA hyper equipped,0,10655744,1830,536000,€536000,1,Vlaams-Brabant,Flanders
3735,536000,Avenue Louise 200,4,A,1,0,1,46,0,36,2,2023,0,0,2,0,0,3,USA hyper equipped,0,10655743,1140,536000,€536000,1,Brussels Hoofdstedelijk Gewest,Brussels
3736,536000,Avenue Louise 200,4,A,1,0,1,46,0,36,2,2023,0,0,2,0,0,3,USA hyper equipped,0,10655742,1831,536000,€536000,1,Vlaams-Brabant,Flanders
3737,536000,Avenue Louise 200,4,A,1,0,1,46,0,36,2,2023,0,0,2,0,0,3,USA hyper equipped,0,10655741,1130,536000,€536000,1,Brussels Hoofdstedelijk Gewest,Brussels
3738,229000,Avenue de Maire 202,3,B,122,0,0,0,0,0,2,0,0,0,1,0,0,1,Hyper equipped,Gas,10655737,7700,229000,€229000,0,Hainaut,Wallonia
3739,229000,Avenue de Maire 202,2,C,201,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gas,10655736,7500,229000,€229000,0,Hainaut,Wallonia
3740,165000,Avenue de Maire 202,3,Not specified,Not specified,0,0,0,440,0,0,0,To renovate,0,0,0,0,0,0,Gas,10655734,7900,165000,€165000,0,Hainaut,Wallonia
3741,799000,Prof. Scharpélaan 44,12,A,99,0,0,0,6314,0,4,2000,0,0,2,1,0,2,Semi equipped,Fuel oil,10655733,3120,799000,€799000,0,Vlaams-Brabant,Flanders
