,property_type,property_subtype,immo_code,location,postcode,province,region,price,address,energy_class,primary_energy_consumption,furnished,terrace,terrace_surface,plot_surface,living_room_surface,frontages,construction_year,building_condition,bedrooms,bathrooms,shower_rooms,office,toilets,kitchen_type,heating_type,price_orig
1997,house,house,10662146,anzegem,8570,West-Vlaanderen,Flanders,195000,Gentiel Antheunisplein 6,F,638,0,0,0,461,0,0,0,0,3,1,0,0,1,0,Fuel oil,€195000
1998,house,house,10662145,sint-laureins,9988,Oost-Vlaanderen,Flanders,215000,Boelare 67,E,460,0,0,0,319,0,2,1930,Good,2,1,0,0,0,Installed,Gas,€215000
1999,house,house,10662143,lokeren,9160,Oost-Vlaanderen,Flanders,399500,Plezantstraat 71,B,101,0,0,0,141,0,3,2017,0,3,1,0,0,2,0,Gas,€399500
2000,apartment,apartment,10662139,liezele,2870,Antwerpen,Flanders,299000,Dr. Persoonslaan 15 b,A,95,0,1,6,0,38,0,2007,Good,2,1,0,0,1,Installed,Gas,€299000
2001,house,house,10647842,froyennes,7503,Hainaut,Wallonia,159000,Avenue de Maire 202,G,518,0,0,0,430,0,2,0,0,3,1,0,0,1,0,Gas,€159000
2002,house,house,10632392,templeuve,7520,Hainaut,Wallonia,189000,Avenue de Maire 202,E,393,0,0,0,1065,0,3,0,0,3,1,0,0,1,0,Gas,€189000
2003,house,house,10609716,mouscron,7700,Hainaut,Wallonia,165000,Avenue de Maire 202,D,333,0,0,0,190,25,2,0,0,3,0,1,0,1,0,Gas,€165000
2004,house,house,10662010,neufch%C3%A2teau,6840,Luxembourg,Wallonia,210000,"Avenue de la Gare, 171",G,542,0,1,0,172,0,2,1968,To renovate,4,1,0,0,0,0,Fuel oil,€210000
2005,apartment,apartment-block,10591720,molenbeek-saint-jean,1080,Brussels Hoofdstedelijk Gewest,Brussels,849000,Drève Richelle 197,F,345,0,1,0,0,0,3,1920,To renovate,7,4,0,0,4,Not installed,0,€849000
2006,apartment,apartment-block,10662003,tournai,7500,Hainaut,Wallonia,189000,Impasse Saint-Paul 16,E,406,0,0,0,0,0,3,0,0,0,3,0,0,0,Installed,Gas,€189000
2007,house,exceptional-property,10661999,knesselare,9910,Oost-Vlaanderen,Flanders,4235000,Wiezeplein 13,B,139,0,1,0,6014,0,4,0,0,30,0,0,1,0,0,Gas,€4235000
2008,apartment,duplex,9808607,anderlecht,1070,Brussels Hoofdstedelijk Gewest,Brussels,225000,Bd Félix Paulsen 24-26,E,266,0,0,0,0,33,2,0,0,2,1,0,0,0,Installed,Gas,€225000
2009,house,house,10661998,st-niklaas,9100,Oost-Vlaanderen,Flanders,149000,Ten Bos 11,D,370,0,1,0,70,0,2,1918,To renovate,2,1,0,0,1,Semi equipped,Gas,€149000
2010,house,house,10661989,sint-niklaas,9100,Oost-Vlaanderen,Flanders,325000,Bredabaan 433,C,213,0,1,15,289,0,2,0,0,3,1,0,0,2,Installed,Gas,€325000
2012,house,house,10661967,sint-katelijne-waver,2860,Antwerpen,Flanders,598000,Mechelbaan 509,C,291,0,1,0,1485,0,4,1973,Good,3,1,1,0,2,Installed,Fuel oil,€598000
2013,house,house,10661958,vaux-sur-s%C3%BBre,6640,Luxembourg,Wallonia,465000,Place McAuliffe 43,B,152,0,1,0,4024,0,4,2006,0,3,1,0,0,2,0,Fuel oil,€465000
2014,apartment,apartment,10661953,bruxelles,1000,Brussels Hoofdstedelijk Gewest,Brussels,240000,Avenue de Woluwe-Saint-Lambert 35,D,168,0,0,0,0,25,2,0,0,1,0,1,0,1,Semi equipped,Gas,€240000
2015,apartment,apartment-block,10661951,bruxelles,1000,Brussels Hoofdstedelijk Gewest,Brussels,750000,Avenue de Woluwe-Saint-Lambert 35,E,223,0,0,0,0,0,0,0,0,3,2,1,0,3,0,0,€750000
2016,house,house,10661948,ninove,9400,Oost-Vlaanderen,Flanders,239000,Molenstraat 1,C,240,0,1,20,211,26,2,1930,As new,3,1,0,0,1,Installed,0,€239000
2017,apartment,apartment,10661945,bruxelles,1000,Brussels Hoofdstedelijk Gewest,Brussels,370000,Rue de Laeken 91,C,123,1,1,13,0,45,2,2008,0,2,1,0,0,1,Semi equipped,0,€370000
2018,house,mixed-use-building,10661938,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,985000,Brusselsesteenweg 65,E,229,0,0,0,110,0,2,1920,Good,6,3,0,0,4,Semi equipped,Gas,€985000
2020,house,house,10661935,avelgem,8583,West-Vlaanderen,Flanders,230000,Hulstedorp 18,F,645,0,1,0,710,0,3,0,Good,4,0,0,0,2,Installed,Gas,€230000
2021,house,house,10661932,antwerp,2018,Antwerpen,Flanders,399000,Italiëlei 207,C,274,0,0,0,68,0,2,0,Good,3,1,0,0,1,Semi equipped,Gas,€399000
2023,house,house,10453301,anh%C3%89e,5537,Namur,Wallonia,215000,Route de Landen 82,E,341,0,0,0,1900,0,4,0,Good,3,1,0,0,2,0,Fuel oil,€215000
2025,house,house,10661922,beringen,3580,Limburg,Flanders,365000,Tiensesteenweg 227/101,D,348,0,0,0,1250,0,4,1972,Just renovated,3,1,0,0,0,Installed,Fuel oil,€365000
