,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bedrooms,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price_orig
1127,apartment,apartment,10664564,roeselare,8800,West-Vlaanderen,Flanders,145000,"Yv. Serruysstraat, 22",C,283.0,0,1,0,0,0,2,0,Good,1,1,0,0,1,Installed,Electric,€145000
1128,house,house,10664563,roeselare,8800,West-Vlaanderen,Flanders,100000,"Yv. Serruysstraat, 22",C,283.0,0,1,0,0,0,2,0,Good,2,1,0,0,1,Installed,0,€100000
1129,house,house,10664561,deerlijk,8540,West-Vlaanderen,Flanders,210000,Stationsstraat 18,B,193.0,0,1,0,235,0,2,0,Good,3,1,0,0,2,Installed,Gas,€210000
1130,house,house,10664559,manage,7170,Hainaut,Wallonia,145000,Rue de Jolimont 146,D,288.0,0,1,10,135,0,2,0,To be done up,2,1,0,0,1,Semi equipped,Gas,€145000
1131,apartment,apartment,10664554,menen,8930,West-Vlaanderen,Flanders,229000,Vanackerestraat 2,F,764.0,0,1,0,0,0,0,0,Good,3,1,0,0,1,0,Gas,€229000
1132,house,house,10570810,libin,6890,Luxembourg,Wallonia,249000,Rue du Commerce 25,D,279.0,0,1,55,1200,0,4,1874,To be done up,4,1,1,0,2,0,Fuel oil,€249000
1133,house,villa,10421066,honnelles,7387,Hainaut,Wallonia,395000,Rue Grande 92,E,371.0,0,0,0,1512,20,4,0,Good,3,1,0,1,0,0,Fuel oil,€395000
1134,house,house,10664544,eghez%C3%A9e,5310,Namur,Wallonia,525000,Chaussée de Huy 231,C,206.0,0,1,60,1900,50,4,1918,Just renovated,4,2,0,1,2,0,0,€525000
1135,house,house,10664536,wijnegem,2110,Antwerpen,Flanders,599000,Merksemsebaan 2B,A,13.0,0,0,0,411,0,3,2023,As new,3,2,1,0,2,Hyper equipped,Gas,€599000
1136,house,house,10664532,wervik,8940,West-Vlaanderen,Flanders,215000,Hulstedorp 18,D,319.0,0,1,0,233,0,2,0,Good,3,0,0,0,2,Installed,Gas,€215000
1137,apartment,flat-studio,10331447,antwerp,2170,Antwerpen,Flanders,119000,Sint Cordulastraat 19/1,C,259.0,0,0,0,0,22,2,1978,To renovate,1,1,0,0,1,Semi equipped,Gas,€119000
