,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2
785,house,exceptional-property,10665681,diepenbeek,3590,Limburg,Flanders,680000,Hasseltsestraat 17,8,B,182.0,0,0,0,1388,0,4,1977,Good,0,4,4,0,4,Installed,Gas,680000,€680000,0
786,apartment,penthouse,10665680,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,390000,Av. Henri Conscience 74,2,B,91.0,0,1,40,0,44,0,0,Good,0,1,0,0,2,0,0,390000,€390000,1
787,apartment,new-real-estate-project-apartments,10665668,evere,1140,Brussels Hoofdstedelijk Gewest,Brussels,595000,Avenue Louise 200,0,B,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595000,€595000,0
791,apartment,apartment,10665661,edegem,2650,Antwerpen,Flanders,215000,Strijdersstraat 8,2,C,219.0,0,1,4,0,0,3,1967,To be done up,0,1,0,0,1,Semi equipped,Gas,215000,€215000,1
793,house,house,10665659,zelzate,9060,Oost-Vlaanderen,Flanders,382900,Izegemstraat 355,3,A,22.0,0,1,0,163,0,2,2021,As new,0,0,0,1,0,0,Gas,382900,€382900,1
794,apartment,penthouse,10665658,nivelles,1400,Brabant wallon,Wallonia,298000,Place Emile Delalieux 1,2,D,303.0,0,1,26,0,41,3,2001,Good,0,1,1,0,1,Installed,Electric,298000,€298000,1
795,apartment,flat-studio,10665656,namur,5000,Namur,Wallonia,85000,Rue Notre Dame 130,0,D,289.0,0,0,0,0,0,0,0,0,0,0,1,0,1,Semi equipped,0,85000,€85000,0
796,house,villa,10665655,grimbergen,1850,Vlaams-Brabant,Flanders,1800000,Markt 37,5,F,1098.0,0,1,40,13890,0,4,1953,To be done up,0,3,0,1,0,Installed,Electric,1800000,€1800000,1
797,house,house,10665653,hermee,4680,Liï¿½ge,Wallonia,225000,"Place Lucien Molitor, 1A/01",3,F,494.0,0,1,24,259,0,2,1977,To be done up,0,1,0,0,1,0,Gas,225000,€225000,1
798,apartment,apartment,10665652,kapelle-op-den-bos,1880,Vlaams-Brabant,Flanders,355000,Verbindingsweg 41,2,A,36.0,0,1,6,0,34,2,2019,Good,0,1,0,0,1,Installed,0,355000,€355000,1
