,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,Postcode,Price2,Terrace2,Provincie,Gemeenschap
4571,€310000,Vichteplaats 13,3,Not specified,Not specified,0,1,0,170,0,2,2023,0,0,1,0,0,2,USA installed,Gas,10654993,8570,310000,1,West-Vlaanderen,Flanders
4572,€335000,Vichteplaats 13,3,Not specified,Not specified,0,1,0,185,0,2,2023,0,0,1,0,0,0,Installed,Gas,10654992,8570,335000,1,West-Vlaanderen,Flanders
4573,€320000,Vichteplaats 13,3,Not specified,Not specified,0,1,0,164,0,3,2023,0,0,1,0,0,0,Installed,Gas,10654991,8570,320000,1,West-Vlaanderen,Flanders
4574,€335000,Vichteplaats 13,3,Not specified,Not specified,0,1,0,191,0,2,2023,0,0,1,0,0,0,Installed,Gas,10654990,8570,335000,1,West-Vlaanderen,Flanders
4575,€159000,Paul de Smet de Naeyerstraat 4,0,C,245,1,0,0,0,0,0,0,Just renovated,0,1,0,0,1,Installed,Electric,10496949,8430,159000,0,West-Vlaanderen,Flanders
4576,€165000,Boterstraat 39,3,F,1059,0,0,0,1035,0,4,1921,To renovate,0,1,0,0,2,Semi equipped,Wood,10463129,8650,165000,0,West-Vlaanderen,Flanders
4577,€289000,Zwijnaardsesteenweg 23,3,C,267,0,0,0,59,25,2,0,Just renovated,0,1,0,0,2,Installed,Gas,10654985,9000,289000,0,Oost-Vlaanderen,Flanders
4578,€295000,Rue de Malvoisin 38,3,Not specified,Not specified,0,1,0,666,0,3,2023,As new,0,0,0,0,2,Installed,Gas,10654984,6637,295000,1,Luxembourg,Wallonia
4579,€179900,Rue de gilly 81,2,E,370,0,0,0,0,0,2,0,Good,0,0,1,0,1,Installed,Gas,10649654,6031,179900,0,Hainaut,Wallonia
4580,€190000,Avenue louise 523,2,G,845,0,0,0,0,28,0,0,0,0,1,0,0,1,0,0,10654983,1080,190000,0,Brussels Hoofdstedelijk Gewest,Brussels
